大类,一级类目,二级类目,三级类目,四级类目,类目费率
3C 数码家电,行业服务权益,家电安装,/,/,5.00%
3C 数码家电,行业服务权益,汽摩安装,/,/,5.00%
3C 数码家电,行业服务权益,家装安装,/,/,5.00%
3C 数码家电,行业服务权益,其他二级类目,/,/,10.00%
3C 数码家电,3C 数码及配件,二手 3C 数码配件,/,/,5.00%
3C 数码家电,3C 数码及配件,二手电脑外设及配件,/,/,5.00%
3C 数码家电,3C 数码及配件,二手电脑组件,/,/,5.00%
3C 数码家电,3C 数码及配件,二手电玩及配件,/,/,5.00%
3C 数码家电,3C 数码及配件,二手电脑,/,/,5.00%
3C 数码家电,3C 数码及配件,二手摄影 / 摄像,/,/,5.00%
3C 数码家电,3C 数码及配件,二手手机,/,/,5.00%
3C 数码家电,3C 数码及配件,二手 3C 数码,/,/,5.00%
3C 数码家电,3C 数码及配件,其他二级类目,/,/,2.00%
3C 数码家电,电器,商用电器,商用空调柜机,/,3.00%
3C 数码家电,电器,商用电器,商用热水采暖系统,/,3.00%
3C 数码家电,电器,商用电器,商用冷柜,/,3.00%
3C 数码家电,电器,商用电器,商用冰箱,/,3.00%
3C 数码家电,电器,商用电器,其他三级类目,/,2.00%
3C 数码家电,电器,二手家电,/,/,5.00%
3C 数码家电,电器,二手影音电器,/,/,5.00%
3C 数码家电,电器,电器配件,电视机配件,/,3.00%
3C 数码家电,电器,电器配件,空调配件,/,3.00%
3C 数码家电,电器,电器配件,洗衣机配件,/,3.00%
3C 数码家电,电器,电器配件,冰箱配件,/,3.00%
3C 数码家电,电器,电器配件,烟机灶具配件,/,3.00%
3C 数码家电,电器,电器配件,其他三级类目,/,2.00%
3C 数码家电,电器,清洁电器,内衣清洗机,/,3.00%
3C 数码家电,电器,清洁电器,其他三级类目,/,2.00%
3C 数码家电,电器,环境电器,移动空调,/,3.00%
3C 数码家电,电器,环境电器,其他三级类目,/,2.00%
3C 数码家电,电器,大家电,/,/,3.00%
3C 数码家电,电器,个护健康电器,电动牙刷,/,2.50%
3C 数码家电,电器,个护健康电器,电动刮痧仪,/,3.00%
3C 数码家电,电器,个护健康电器,按摩床垫,/,3.00%
3C 数码家电,电器,个护健康电器,保健 / 保暖护具,/,3.00%
3C 数码家电,电器,个护健康电器,电子秤 / 体重秤,/,3.00%
3C 数码家电,电器,个护健康电器,足浴盆 / 足浴桶 / 足浴器,/,3.00%
3C 数码家电,电器,个护健康电器,按摩器 / 枕 / 坐垫 / 枪,/,3.00%
3C 数码家电,电器,个护健康电器,按摩椅 / 沙发,/,3.00%
3C 数码家电,电器,个护健康电器,电吹风,/,3.00%
3C 数码家电,电器,个护健康电器,电动剃须刀 / 修须刀 / 修胡子造型器,/,2.00%
3C 数码家电,电器,个护健康电器,其他三级类目,/,5.00%
3C 数码家电,电器,冷藏电器,/,/,3.00%
3C 数码家电,电器,厨房电器,电磁灶,/,3.00%
3C 数码家电,电器,厨房电器,电热水龙头,/,3.00%
3C 数码家电,电器,厨房电器,其他三级类目,/,2.00%
3C 数码家电,电器,其他二级类目,/,/,2.00%
3C 数码家电,办公设备及耗材,二手打印设备,/,/,5.00%
3C 数码家电,办公设备及耗材,其他二级类目,/,/,2.00%
3C 数码家电,元器件,/,/,/,2.00%
本地生活,本地生活服务,加油服务,民营加油优惠券,/,1.00%
本地生活,本地生活服务,加油服务,其他三级类目,/,0.60%
本地生活,本地生活服务,兑换提货卡券,/,/,0.60%
本地生活,本地生活服务,装修服务,/,/,2.00%
本地生活,本地生活服务,保险,/,/,1.00%
本地生活,本地生活服务,其他二级类目,/,/,3.00%
本地生活,通讯充值,境外通讯服务,/,/,5.00%
本地生活,通讯充值,无线上网设备,/,/,2.00%
本地生活,通讯充值,新入网手机号套餐,/,/,1.00%
本地生活,通讯充值,话费充值,/,/,0.30%
本地生活,通讯充值,其他二级类目,/,/,0.60%
文娱,教育音像,/,/,/,2.00%
文娱,生活娱乐充值,充电服务,/,/,2.00%
文娱,生活娱乐充值,iTunes 卡,/,/,0.60%
